# Ex.02 COLUMNS: 1.Сущность=Объект перехода | 2.Статус=Текущий статус | 3.Инициирующее событие=Событие перехода | 4.Инициатор=Кто выполняет | 5.Условия и проверки=Условия допустимости | 6.Основные действия=Что делается | 7.Следующий статус=Новый статус
Сущность;Статус;Инициирующее событие;Инициатор;Условия и проверки;Основные действия;Следующий статус
Клиент;Новый;Подача данных на регистрацию на сайте;Клиент;Телефон не зарегистрирован, обязательные поля заполнены;Создание карточки клиента, подготовка смс;Активен
Клиент;Новый;Регистрация через менеджера;Менеджер;Телефон не зарегистрирован;Создание клиента, генерация временного пароля, отправка смс;Активен
Клиент;Активен;Нарушение правил сервиса;Администратор;Зафиксированы нарушения по внутреннему регламенту;Ограничение доступа к операциям записи и отзывам;Заблокирован
Клиент;Активен;Запрос на удаление данных и отсутствуют активные/будущие записи;Администратор;Проверены все связанные записи;Перевод карточки в архив, скрытие из рабочих списков;Архивирован
Клиент;Заблокирован;Отмена блокировки;Администратор;Причины блокировки устранены;Восстановление всех доступов клиента;Активен
Сотрудник;Кандидат;Оформление на работу;Администратор;Принято решение о приеме, назначены роли;Создание активной записи сотрудника;Активен
Сотрудник;Активен;Временное отсутствие (отпуск, больничный);Администратор;Определен период недоступности;Запрет назначения новых слотов на сотрудника;Приостановлен
Сотрудник;Приостановлен;Выход на работу;Администратор;Дата выхода наступила;Разрешение назначения слотов;Активен
Сотрудник;Активен;Увольнение;Администратор;Обработаны слоты и услуги, перераспределены или отменены;Запрет входа в систему и использования в новых операциях;Уволен
Сотрудник;Уволен;Окончание срока активного хранения;Система;Прошел регламентный срок;Перевод в архивную область;Архивирован
Роль сотрудника;Черновик;Утверждение ролевой модели;Администратор;Роль согласована ответственными лицами;Разрешение назначения роли сотрудникам;Активна
Роль сотрудника;Активна;Принято решение о выводе роли;Администратор;Планируется отказ от роли, новых назначений быть не должно;Запрет назначения роли новым сотрудникам;Закрыта
Роль сотрудника;Закрыта;Нет сотрудников с данной ролью;Система;Роль более не используется;Перенос в архивный набор ролей;Архивирована
Канал связи;Черновик;Настройка и тестирование завершены;Администратор;Успешные тестовые отправки;Разрешение использования канала в рассылках;Активен
Канал связи;Активен;Технические проблемы или изменения политики;Администратор;Канал временно недоступен или небезопасен;Блокировка новых отправок через канал;Временно отключен
Канал связи;Временно отключен;Устранение проблем;Администратор;Канал снова готов к работе;Возврат к использованию;Активен
Канал связи;Активен;Окончательный отказ от канала;Администратор;Канал не должен использоваться в будущем;Запрет использования в новых настройках, сохранение истории;Закрыт
Услуга мастера;Черновик;Завершение описания услуги;Менеджер;Заполнены название, цена, длительность;Публикация услуги в прайсе;Активна
Услуга мастера;Активна;Временное приостановление продажи;Менеджер;Услуга временно недоступна;Запрет выбора услуги при новых записях;Заморожена
Услуга мастера;Активна;Окончательное снятие с продажи;Администратор;Нет будущих записей по услуге;Исключение из предложений клиенту, сохранение для отчетов;Закрыта
Услуга мастера;Закрыта;Окончание срока активного хранения;Система;Прошел регламентный срок;Перевод в архивную область;Архивирована
Отзыв клиента;Новый;Отправка отзыва клиентом;Клиент;Клиенту ранее оказана услуга;Сохранение текста, маркировка для модерации;Ожидает проверки
Отзыв клиента;Ожидает проверки;Подтверждение модератором;Менеджер;Содержание не нарушает правила;Публикация отзыва на сайте;Опубликован
Отзыв клиента;Ожидает проверки;Отклонение модератором;Менеджер;Обнаружены нарушения или спам;Сокрытие отзыва, опционально уведомление клиента;Отклонен
Отзыв клиента;Опубликован;Решение о скрытии;Администратор;Жалоба, юридическое требование или иные основания;Снятие отзыва из публичного отображения;Скрыт
