# Ex.05 COLUMNS: 1.Роль | 2.Действие | 3.UC | 4.Форма визуализации=список/карточка | 5.Подтверждение | 6.Откат | 7.Сортировка и фильтрация | 8.Поиск | 9.Логирование | 10.Уведомления
Роль;Действие;UC;Форма визуализации;Подтверждение пользователя;Возможность отката;Сортировка и фильтрация;Поиск;Логирование;Уведомления
Клиент;Просмотр списка свободных слотов;UC03;Список слотов;Не требуется;Не требуется;Фильтр по дате, времени, мастеру, услуге;По дате, услуге, мастеру;Не требуется;Не требуется
Клиент;Просмотр деталей выбранного слота;UC03;Карточка слота;Не требуется;Не требуется;Нет;По идентификатору слота;Не требуется;Не требуется
Клиент;Подтверждение бронирования выбранного слота;UC03;Карточка слота с реквизитами услуги;Требуется;Отмена до начала услуги переводом в свободный слот;Нет;Нет;Создание записи, статус, время операции, инициатор;Смс или сообщение в мессенджер о бронировании
Клиент;Отмена бронирования;UC03;Карточка слота с текущим статусом;Требуется;Откат статуса слота на «Свободен»;Фильтр по будущим бронированиям клиента;По дате визита и услуге;Фиксация отмены, причина, инициатор;Смс или сообщение об отмене
Менеджер;Массовое создание слотов по шаблону;UC02;Форма настройки шаблона, список создаваемых слотов;Требуется;Удаление пакета слотов, пока по ним нет бронирований;Фильтр по мастеру и периоду;По мастеру и дате;Создание пакета слотов, параметры шаблона;Не требуется
Менеджер;Корректировка параметров отдельного слота;UC02;Карточка слота;Требуется;Возможность отката до предыдущей версии до момента сохранения;Фильтр по мастеру, дате, статусу;По клиенту, услуге, мастеру;Все изменения ключевых полей слота;Смс клиенту при изменении времени или мастера
Менеджер;Перенос брони на другой слот;UC03;Мастер‑форма с исходным и целевым слотами;Требуется;Возврат к исходному слоту, если перенос отменен до сохранения;Фильтр по свободным слотам в нужном диапазоне;По мастеру, дате, услуге;Факт переноса, старый и новый слоты, инициатор;Смс или сообщение клиенту о переносе
Мастер;Просмотр личного расписания;UC02;Список слотов мастера;Не требуется;Не требуется;Фильтр по дате и статусу;По клиенту и услуге;Не требуется;Не требуется
Система;Автоматическая смена статуса просроченных свободных слотов;—;Нет пользовательского интерфейса;Не применяется;Не применяется;Фильтр по слоту с датой в прошлом и статусом «Свободен»;По диапазону дат;Смена статуса на «Истек без использования»;Не требуется
Система;Отправка напоминаний о визите;UC03;Нет пользовательского интерфейса;Не применяется;Не применяется;Отбор слотов за заданный интервал до начала;По клиенту и дате;Факт отправки напоминания, канал;Смс или сообщение клиенту в выбранный канал связи
