# Ex.06 COLUMNS: 1.Объект | 2.Роль | 3.Операция CRUD | 4.Условия доступа | 5.Ограничения | 6.Требуются уведомления | 7.Требуется журналирование | 8.Особые заметки
Объект;Роль;Операция CRUD;Условия доступа;Ограничения;Требуются уведомления;Требуется журналирование;Особые заметки
Клиенты;Клиент;CREATE;Регистрация через сайт;Только создание собственной записи;Да, смс о регистрации;Да, фиксировать источник регистрации;Удаление только через администратора
Клиенты;Клиент;READ;Клиент авторизован;Только собственная карточка;Нет;Минимально, факт входа;—
Клиенты;Клиент;UPDATE;Клиент авторизован;Только часть личных данных, без смены идентификаторов;Да, при смене телефона;Да, фиксировать старые и новые значения;—
Клиенты;Клиент;DELETE;Не разрешено;Удаление выполняет только администратор;Нет;Да, попытки удаления;Защита от потери истории услуг
Клиенты;Менеджер;READ;Работа с клиентом по телефону или на стойке;Просмотр и поиск клиентов по номеру телефона;Нет;Да, фиксировать кто и когда открывал карточку;—
Клиенты;Менеджер;UPDATE;Клиент подтвердил изменения;Изменение по звонку должно быть согласовано с клиентом;Опционально, при критичных изменениях;Да, кто и что изменил;—
Клиенты;Администратор;DELETE;Нет активных и будущих записей клиента;Удаление по регламенту хранения;Нет;Да, дата, причина, инициатор;Удалять только при выполнении условий хранения
Сотрудники;Мастер;READ;Авторизованный мастер;Только собственная запись;Нет;Нет;—
Сотрудники;Менеджер;READ;Работа с расписанием;Просмотр мастеров, но не кадровых данных;Нет;Нет;—
Сотрудники;Администратор;CREATE;Кадровое оформление;Создание любых сотрудников;Нет;Да, факт создания сотрудника;—
Сотрудники;Администратор;UPDATE;Изменения ролей и статуса;Нет ограничений по полям, кроме регламентов;Нет;Да, история изменений статуса и ролей;—
Сотрудники;Администратор;DELETE;Сотрудник уволен и не имеет активных слотов;Удаление только после обработки связанных объектов;Нет;Да, дата и причина;Рекомендовано использовать архивирование вместо физического удаления
Роли сотрудника;Администратор;CREATE;Настройка прав доступа;Создание новых ролей;Нет;Да, описание роли и создателя;—
Роли сотрудника;Администратор;READ;Администрирование системы;Просмотр всех ролей;Нет;Нет;—
Роли сотрудника;Администратор;UPDATE;Актуализация матрицы доступа;Изменения не должны нарушать регламенты безопасности;Нет;Да, историю изменения прав;—
Роли сотрудника;Администратор;DELETE;Роль не назначена ни одному действующему сотруднику;Удаление запрещено при наличии связей;Нет;Да, факт и причина;—
Услуги;Клиент;READ;Просмотр услуг на сайте;Только активные услуги;Нет;Нет;—
Услуги;Мастер;READ;Планирование работы;Просмотр услуг, которые он выполняет;Нет;Нет;—
Услуги;Менеджер;CREATE;Формирование прайса;Создание услуг в рамках утвержденного ассортимента;Нет;Да, факт создания;—
Услуги;Менеджер;UPDATE;Корректировка услуга/прайса;Изменения согласованы с руководством;Нет;Да, изменения цены и длительности;Может влиять на расчеты
Услуги;Администратор;DELETE;Услуга не используется в будущих записях;Удаление активных услуг запрещено;Нет;Да, дата, причина;Предпочтительно снимать с продажи через статус
Услуги мастера;Менеджер;CREATE;Назначение услуг мастеру;Только на активные услуги и активных мастеров;Нет;Да, факт назначения;—
Услуги мастера;Менеджер;READ;Управление загрузкой;Просмотр связок мастер–услуга;Нет;Нет;—
Услуги мастера;Менеджер;UPDATE;Изменение набора услуг мастера;Нельзя удалять услуги, по которым есть будущие записи;Нет;Да, какие услуги добавлены/убраны;—
Услуги мастера;Администратор;DELETE;Связь не используется в будущих слотах;Удаление запрещено при активных слотах;Нет;Да, факт удаления;—
Слоты обслуживания;Клиент;CREATE;Клиент авторизован или ввел контактные данные;Создание броней только на свободные слоты;Да, уведомление о брони;Да, факт создания;—
Слоты обслуживания;Клиент;READ;Просмотр расписания;Просмотр только свободных слотов и собственных броней;Нет;Нет;—
Слоты обслуживания;Клиент;UPDATE;Перенос или изменение собственной брони;Разрешено до начала слота и по правилам сервиса;Да, уведомление об изменении;Да, старые и новые значения;—
Слоты обслуживания;Клиент;DELETE;Отмена собственной брони;Разрешено до установленного времени до начала;Да, уведомление об отмене;Да, факт и причина отмены;—
Слоты обслуживания;Мастер;READ;Просмотр личного расписания;Только свои слоты;Нет;Нет;—
Слоты обслуживания;Менеджер;CREATE;Формирование расписания;Создание слотов для мастеров;Нет;Да, факт массового создания;—
Слоты обслуживания;Менеджер;READ;Работа с расписанием;Просмотр всех слотов;Нет;Да, при критичных операциях;—
Слоты обслуживания;Менеджер;UPDATE;Корректировка слотов и перенос броней;Нельзя нарушать условия уведомления клиента;Да, уведомление клиенту;Да, что изменено и кем;—
Слоты обслуживания;Менеджер;DELETE;Удаление свободных слотов и отмена брони;Удаление занятых слотов только с соблюдением правил уведомления;Да, уведомление клиенту;Да, дата, причина, инициатор;—
Слоты обслуживания;Администратор;DELETE;Архивное удаление старых слотов;Только слоты без связей, старше года;Нет;Да, для аудита;Удаление выполняется по регламенту
