Справочник;Операция;Роль;UC;Условия выполнения;Возможность отмены;Требуется подтверждение;Финансовые последствия;Что журналировать;Кого и как уведомлять
Клиенты;CREATE;Клиент;UC01;Телефон не зарегистрирован, обязательные поля заполнены;Да, до завершения шага регистрации;Нет;Нет;Факт регистрации, источник (самостоятельно);Клиент — смс с подтверждением регистрации
Клиенты;CREATE;Менеджер;UC04;Телефон не зарегистрирован, клиент согласовал данные по телефону;Да, до завершения звонка;Нет;Нет;Факт регистрации, источник (по телефону), оператор;Клиент — смс с логином и временным паролем
Клиенты;READ;Клиент;UC01;Клиент авторизован;Не применимо;Нет;Нет;Факт обращения к собственной карточке;Нет
Клиенты;READ;Менеджер;UC04;Поиск по номеру телефона клиента;Не применимо;Нет;Нет;Кто и когда просматривал карточку клиента;Нет
Клиенты;UPDATE;Клиент;UC01;Меняются только разрешенные поля (например, имя, предпочтения);Да, до сохранения формы;Да;Нет;Измененные поля и их старые значения;Клиент — смс при смене критичных данных (телефон)
Клиенты;UPDATE;Менеджер;UC04;Изменения согласованы с клиентом по телефону;Да, до сохранения;Да;Нет;Кто менял данные, что изменено, ссылка на звонок;При необходимости — телефонный звонок клиенту
Клиенты;DELETE;Администратор;UC04;Нет активных и будущих записей клиента;Нет;Да;Нет;Факт удаления, причина, инициатор;Нет
Сотрудники;CREATE;Администратор;UC02;Принято решение о приеме, роль определена;Да, до утверждения записи;Да;Нет;Создание сотрудника, назначенные роли;Нет
Сотрудники;READ;Менеджер;UC02;Нужно сформировать расписание мастера;Не применимо;Нет;Нет;Факт просмотра списка мастеров;Нет
Сотрудники;READ;Мастер;UC02;Просмотр только собственной записи;Не применимо;Нет;Нет;Нет;Нет
Сотрудники;UPDATE;Администратор;UC02;Меняется статус или набор ролей;Да, до сохранения;Да;Косвенно влияет на доступ к операциям, но не на деньги напрямую;Изменения статуса и ролей, инициатор;Нет
Сотрудники;DELETE;Администратор;UC02;Сотрудник уволен, не участвует в будущих слотах;Нет;Да;Нет;Удаление сотрудника, причина и дата;Нет
Роли сотрудника;CREATE;Администратор;UC02;Новая роль согласована методологически;Да, до начала использования роли;Да;Нет;Создание роли и описание прав;Нет
Роли сотрудника;READ;Администратор;UC02;Просмотр перечня ролей;Не применимо;Нет;Нет;Нет;Нет
Роли сотрудника;UPDATE;Администратор;UC02;Изменяются описания и права роли;Да, до сохранения;Да;Может косвенно влиять на операции, но напрямую не меняет суммы;История изменений прав роли;Нет
Роли сотрудника;DELETE;Администратор;UC02;Роль не назначена ни одному действующему сотруднику;Нет;Да;Нет;Удаление роли, причина;Нет
Каналы связи;CREATE;Администратор;UC02;Настроен новый канал коммуникации;Да, до начала использования в уведомлениях;Да;Нет;Создание канала и его параметры;Нет
Каналы связи;READ;Менеджер;UC02;Нужно выбрать канал для уведомлений;Не применимо;Нет;Нет;Нет;Нет
Каналы связи;UPDATE;Администратор;UC02;Меняются параметры подключения или статусы;Да, до сохранения;Да;Косвенно влияет на доставку уведомлений;Изменения настроек канала;Нет
Каналы связи;DELETE;Администратор;UC02;Канал больше не используется в активных настройках;Нет;Да;Нет;Удаление канала, причина;Нет
Услуги мастера;CREATE;Менеджер;UC02;Определены параметры услуги и мастер;Да, до публикации;Да;Нет;Создание услуги и назначение мастеру;Нет
Услуги мастера;READ;Клиент;UC03;Формируется список услуг для выбора;Не применимо;Нет;Нет;Нет;Нет
Услуги мастера;READ;Мастер;UC02;Просмотр перечня собственных услуг;Не применимо;Нет;Нет;Нет;Нет
Услуги мастера;UPDATE;Менеджер;UC02;Корректируются описание, цена, длительность;Да, до сохранения;Да;Может менять стоимость услуг, влияет на финансы;Изменения цены и параметров услуги;Нет
Услуги мастера;DELETE;Администратор;UC02;По услуге нет будущих записей;Нет;Да;Возможное влияние на отчеты, но не на уже проведенные оплаты;Факт удаления услуги и причина;Нет
