Роль;Операция CRUD;UC;Краткое описание действия;Комментарий к полноте UC
Менеджер;CREATE;UC02;Создание одного или серии слотов для мастера на основе графика работы;В UC02 явно описано создание расписания мастера
Менеджер;READ;UC02;Просмотр списка слотов по мастеру и дате;Используется при контроле и корректировке расписания
Мастер;READ;UC02;Просмотр собственного расписания и записей клиентов;Следует явно добавить в UC02 как шаг просмотра мастером
Клиент;READ;UC03;Просмотр доступных для бронирования слотов;В UC03 описано формирование списка доступных слотов
Клиент;CREATE;UC03;Создание записи бронирования слота для услуги;В UC03 описано подтверждение регистрации слота
Менеджер;CREATE;UC03;Создание брони клиенту по телефону;Следует уточнить UC04 или добавить отдельный UC для бронирования менеджером
Менеджер;UPDATE;UC02;Коррекция параметров слота (мастер, время) при изменении расписания;Требуется уточнение в UC02 о корректировке уже созданных слотов
Менеджер;UPDATE;UC03;Перенос существующей брони клиента на другой слот;Следует дополнить UC03 сценарием переноса брони
Клиент;DELETE;UC03;Отмена собственной брони до начала услуги;В UC03 требуется явное описание сценария отказа клиента
Менеджер;DELETE;UC03;Отмена брони по инициативе барбершопа;В UC02/UC03 следует добавить сценарий отмены по инициативе менеджера с уведомлением
Менеджер;DELETE;UC02;Удаление свободных слотов при изменении расписания;Следует уточнить UC02, что возможно удаление слотов без броней
Администратор;DELETE;—;Удаление/архивация исторических слотов по регламенту хранения;Нужен отдельный UC или регламент обслуживания базы данных
